TurnsLeft	kp	kb	ka	dpos_X	dpos_Y	dpos_theta	cpos_X	cpos_Y	cpos_theta	Deltax	deltay	deltatheta	rho	alpha	beta	vix	viy	wi	vr	wr	phi_l	phi_r
5	3	-2	6	0	200	1.5707963267948966	0.0	0.0	0.0	0.0	200.0	1.5707963267948966	200.0	1.5707963267948966	-3.141592653589793	0.0	0.0	0.0	600.0	15.707963267948966	74.33629385640829	325.6637061435917
5	3	-2	6	0	200	1.5707963267948966	60.0	0.0	1.5707963267948966	-60.0	200.0	0.0	208.806130178211	0.2914567944778672	-1.8622531212727638	600.0	0.0	15.707963267948966	626.418390534633	5.473247009412731	165.02015410290915	252.59210625351284
5	3	-2	6	0	200	1.5707963267948966	60.00000000000001	62.6418390534633	2.1181210277361697	-60.00000000000001	137.3581609465367	0.5473247009412732	149.89084154348686	-0.13548999715034404	-1.4353063296445525	3.8357063844763747e-14	626.418390534633	5.473247009412731	449.67252463046054	2.0576726763870408	133.42946013239052	166.35222295458317
5	3	-2	6	0	200	1.5707963267948966	36.59883482920342	101.04026692133854	2.3238882953748736	-36.59883482920342	98.95973307866146	0.7530919685799771	105.51067946826632	-0.39885663809243743	-1.1719396887024591	-234.01165170796585	383.98427867875245	2.0576726763870408	316.532038404799	-0.04926045114970634	105.90476307746398	105.11659585906868
5	3	-2	6	0	200	1.5707963267948966	14.951276552703511	124.13374076206921	2.318962250259903	-14.951276552703511	75.86625923793079	0.7481659234650064	77.32548067301192	-0.553585282710392	-1.0172110440845046	-216.47558276499907	230.93473840730667	-0.04926045114970634	231.97644201903577	-1.2870896080933427	87.62219753775867	67.02876380826518
5	3	-2	6	0	200	1.5707963267948966	-0.8299796776954267	141.13617142090754	2.1902532894505686	0.8299796776954267	58.863828579092456	0.6194569626556721	58.869679642870224	-0.6335560231751154	-0.9372403036197812	-157.81256230398938	170.02430658838324	-1.2870896080933427	176.6090389286107	-1.92685553181113	74.28452389735928	43.45483538838119
5	3	-2	6	0	200	1.5707963267948966	-11.083778767642755	155.51557094021538	1.9975677362694557	11.083778767642755	44.48442905978462	0.42677140947455916	45.844460740039885	-0.6709601414978132	-0.8998361852970833	-102.53799089947327	143.79399519307842	-1.92685553181113	137.53338222011965	-2.2260884783927124	63.65316856718158	28.035752912898186
5	3	-2	6	0	200	1.5707963267948966	-16.776752474804354	168.03532982841375	1.7749588884301843	16.776752474804354	31.96467017158625	0.2041625616352878	36.09985543986499	-0.6874943048968591	-0.8833020218980374	-56.92973707161597	125.19758888198366	-2.2260884783927124	108.29956631959496	-2.3583617855850805	54.96674972454563	17.232961155184345
5	3	-2	6	0	200	1.5707963267948966	-18.972495699826165	178.64036034887405	1.5391227098716762	18.972495699826165	21.359639651125946	0.03167361692322035	28.56903566986247	-0.6946063695559963	-0.8761899572389003	-21.9574322502181	106.05030520460292	-2.3583617855850805	85.7071070095874	-2.4152583028581773	47.891102092727884	9.24696924699705
5	3	-2	6	0	200	1.5707963267948966	-18.70107567987845	187.20677226357324	1.2975968795858583	18.70107567987845	12.793227736426758	0.2731994472090382	22.658263558812713	-0.6976284418681684	-0.8731678849267281	2.714200199477158	85.66411914699191	-2.4152583028581773	67.97479067643815	-2.4394348813555538	42.17374260965715	3.142784507968287
5	3	-2	6	0	200	1.5707963267948966	-16.86702337939751	193.7521503148516	1.053653391450303	16.86702337939751	6.247849685148395	0.5171429353445935	17.986998175608708	-0.6989058236204024	-0.8718905031744941	18.34052300480942	65.45378051278351	-2.4394348813555538	53.96099452682613	-2.4496539353734263	37.58422965859612	-1.610233307378703
5	3	-2	6	0	200	1.5707963267948966	-14.199198837107243	198.44263019592938	0.8086879979129604	14.199198837107243	1.5573698040706176	0.7621083288819361	14.284349768972287	-0.6994445398111124	-0.8713517869837841	26.678245422902645	46.9047988107777	-2.4496539353734263	42.85304930691686	-2.4539636648991063	33.916059088165134	-5.347359550220565
5	3	-2	6	0	200	1.5707963267948966	-11.24041816609402	201.54254233820842	0.5632916314230498	11.24041816609402	-1.5425423382084205	1.0075046953718467	11.345767378799106	-0.6996715190929206	-0.871124807701976	29.587806710132217	30.999121422790395	-2.4539636648991063	34.037302136397315	-2.4557794991535715	30.99200337202768	-8.300468614429468
